Var1,Var2,cgmlst,SNP
DW279,DW098,297,2256
DW281,DW098,297,2153
DW282,DW098,274,2079
DW283,DW098,221,1794
DW285,DW098,287,2118
DW286,DW098,284,2003
DW287,DW098,218,1739
DW290,DW098,219,1584
DW292,DW098,278,2036
DW293,DW098,270,2085
DW295,DW098,262,2014
DW296,DW098,276,2082
DW299,DW098,296,2245
DW301,DW098,295,2197
DW303,DW098,233,1681
DW304,DW098,281,2081
DW307,DW098,306,2186
DW308,DW098,288,2225
DW309,DW098,287,2098
DW312,DW098,213,1614
DW313,DW098,285,2166
DW315,DW098,239,1681
DW316,DW098,306,2249
DW318,DW098,263,1996
DW320,DW098,245,1796
DW321,DW098,244,1830
DW325,DW098,282,2173
DW326,DW098,244,1784
DW329,DW098,288,2101
DW330,DW098,301,2090
DW331,DW098,293,2265
DW332,DW098,251,1788
DW334,DW098,282,2104
DW336,DW098,246,1859
DW337,DW098,241,1626
DW339,DW098,283,2076
DW342,DW098,267,1571
DW344,DW098,245,1814
DW345,DW098,250,1782
DW346,DW098,292,2165
DW347,DW098,300,2251
DW349,DW098,272,2150
DW351,DW098,271,2016
DW355,DW098,299,2193
DW356,DW098,273,2141
DW359,DW098,291,2140
DW360,DW098,236,1925
DW361,DW098,235,1737
DW365,DW098,283,2005
DW366,DW098,290,2028
DW368,DW098,270,1877
DW369,DW098,253,1518
DW370,DW098,284,2046
DW371,DW098,244,1701
DW372,DW098,265,1707
DW373,DW098,271,1757
DW374,DW098,247,2073
DW375,DW098,258,1536
DW376,DW098,301,2008
DW377,DW098,249,1734
DW379,DW098,286,1882
DW380,DW098,278,1961
DW381,DW098,236,1696
DW382,DW098,274,1988
DW383,DW098,248,1778
DW384,DW098,305,2093
DW385,DW098,240,1793
DW387,DW098,306,2088
DW388,DW098,250,1744
DW389,DW098,286,1986
DW390,DW098,299,2097
DW391,DW098,299,2115
DW392,DW098,300,2066
DW395,DW098,216,897
DW396,DW098,300,2060
DW397,DW098,293,2055
DW398,DW098,285,1935
DW401,DW098,282,2057
DW402,DW098,238,1481
DW405,DW098,274,1869
DW409,DW098,258,1513
DW410,DW098,300,1859
DW413,DW098,300,2036
DW414,DW098,263,2004
DW415,DW098,281,1974
DW418,DW098,290,1999
DW420,DW098,241,1490
DW423,DW098,255,1554
DW425,DW098,299,2000
DW427,DW098,299,2091
DW428,DW098,292,2003
DW429,DW098,277,1958
DW430,DW098,245,1666
DW432,DW098,218,1482
DW433,DW098,274,1938
DW434,DW098,236,1807
DW435,DW098,244,1707
DW436,DW098,283,1919
DW438,DW098,298,2083
DW439,DW098,239,1642
DW441,DW098,262,1934
DW442,DW098,236,1776
DW443,DW098,287,1981
DW444,DW098,303,2115
DW446,DW098,293,2058
DW448,DW098,297,2081
DW449,DW098,270,1643
DW450,DW098,222,1446
DW451,DW098,299,2033
DW452,DW098,250,1668
DW454,DW098,237,1526
DW456,DW098,290,2029
DW458,DW098,248,1667
DW460,DW098,286,1984
DW462,DW098,293,2102
DW463,DW098,293,2218
DW464,DW098,260,1620
DW481,DW098,272,1897
DW482,DW098,261,1928
DW483,DW098,222,1771
DW484,DW098,292,2124
DW485,DW098,298,2078
DW486,DW098,296,1951
DW487,DW098,243,2128
DW488,DW098,282,2023
DW489,DW098,267,1782
M2282,DW098,228,1640
M2300,DW098,215,1615
M2321,DW098,244,1607
M2341,DW098,226,1620
M30,DW098,205,1476
M6090,DW098,224,1585
M6151,DW098,224,1632
M6257,DW098,212,1457
M6270,DW098,231,1668
M6280,DW098,300,2091
M6282,DW098,297,2211
M6283,DW098,275,2047
M6284,DW098,225,1612
M6285,DW098,173,1056
M6286,DW098,273,1973
M6303,DW098,234,1576
M6312,DW098,223,1611
M6320,DW098,168,1190
M6327,DW098,219,1591
M6328,DW098,233,1599
M6475,DW098,213,1463
M6489,DW098,293,2087
M6593,DW098,224,1564
M6604,DW098,184,1161
M6711,DW098,272,2023
M6713,DW098,295,2119
R32G,DW098,204,1695
TW10_5G,DW098,205,1696
TW10_6G,DW098,206,1696
TW48-5G,DW098,205,1689
UTMB_10G,DW098,205,1694
DW108,DW100,291,2115
DW112,DW100,275,1903
DW119,DW100,308,2369
DW121,DW100,142,831
DW123,DW100,245,1665
DW124,DW100,246,1573
DW128,DW100,258,1715
DW129,DW100,25,161
DW131,DW100,245,1793
DW133,DW100,284,1708
DW140,DW100,229,1469
DW141,DW100,264,2177
DW148,DW100,319,2262
DW153,DW100,310,2265
DW155,DW100,318,2346
DW166,DW100,305,1905
DW167,DW100,304,2017
DW170,DW100,283,1896
DW172,DW100,278,1758
DW268,DW100,286,2033
DW269,DW100,291,1862
DW270,DW100,287,2042
DW272,DW100,283,1692
DW276,DW100,33,92
DW277,DW100,243,1601
DW278,DW100,127,835
DW279,DW100,306,2275
DW281,DW100,309,2294
DW282,DW100,258,1746
DW283,DW100,122,861
DW285,DW100,291,2069
DW286,DW100,293,2002
DW287,DW100,121,828
DW290,DW100,230,1471
DW292,DW100,283,1972
DW293,DW100,277,2004
DW295,DW100,238,1682
DW296,DW100,281,1991
DW299,DW100,303,2318
DW301,DW100,302,2231
DW303,DW100,240,1571
DW304,DW100,299,2130
DW307,DW100,317,2239
DW308,DW100,307,2326
DW309,DW100,306,2148
DW312,DW100,228,1512
DW313,DW100,300,2181
DW315,DW100,238,1533
DW316,DW100,315,2267
DW318,DW100,244,1650
DW320,DW100,132,872
DW321,DW100,131,889
DW325,DW100,302,2240
DW326,DW100,131,861
DW329,DW100,309,2323
DW330,DW100,307,2124
DW331,DW100,302,2229
DW332,DW100,139,871
DW334,DW100,283,2033
DW336,DW100,140,895
DW337,DW100,243,1465
DW339,DW100,306,2249
DW342,DW100,276,1612
DW344,DW100,133,872
DW345,DW100,248,1578
DW346,DW100,301,2193
DW347,DW100,307,2326
DW349,DW100,285,2126
DW351,DW100,270,2010
DW355,DW100,311,2264
DW356,DW100,276,2046
DW359,DW100,298,2165
DW360,DW100,249,1806
DW361,DW100,127,863
DW365,DW100,294,2106
DW366,DW100,289,1976
DW368,DW100,284,1959
DW369,DW100,267,1503
DW370,DW100,288,2103
DW371,DW100,244,1589
DW372,DW100,282,1706
DW373,DW100,272,1695
DW374,DW100,256,2174
DW375,DW100,278,1638
DW376,DW100,313,2053
DW377,DW100,252,1626
DW379,DW100,285,1859
DW380,DW100,280,1930
DW381,DW100,246,1604
DW382,DW100,278,1825
DW383,DW100,256,1692
DW384,DW100,315,2138
DW385,DW100,247,1682
DW387,DW100,309,2097
DW388,DW100,251,1660
DW389,DW100,286,1971
DW390,DW100,310,2128
DW391,DW100,310,2157
DW392,DW100,311,2128
DW395,DW100,227,768
DW396,DW100,312,2254
DW397,DW100,306,2134
DW398,DW100,302,2036
DW401,DW100,287,2118
DW402,DW100,30,82
DW405,DW100,299,2072
DW409,DW100,265,1524
DW410,DW100,305,1872
DW413,DW100,308,2053
DW414,DW100,277,2037
DW415,DW100,305,2173
DW418,DW100,288,2046
DW420,DW100,131,744
DW423,DW100,122,631
DW425,DW100,311,2035
DW427,DW100,313,2123
DW428,DW100,290,1955
DW429,DW100,304,2066
DW430,DW100,133,778
DW432,DW100,194,960
DW433,DW100,255,1722
DW434,DW100,246,1684
DW435,DW100,239,1516
DW436,DW100,303,1998
DW438,DW100,305,2130
DW439,DW100,247,1567
DW441,DW100,238,1616
DW442,DW100,247,1642
DW443,DW100,310,2086
DW444,DW100,313,2151
DW446,DW100,318,2232
DW448,DW100,303,2136
DW449,DW100,288,1730
DW450,DW100,224,1273
DW451,DW100,310,2064
DW452,DW100,273,1760
DW454,DW100,40,144
DW456,DW100,288,2068
DW458,DW100,140,810
DW460,DW100,305,2197
DW462,DW100,302,2152
DW463,DW100,305,2236
DW464,DW100,280,1705
DW481,DW100,275,1769
DW482,DW100,239,1630
DW483,DW100,232,1620
DW484,DW100,306,2131
DW485,DW100,309,2103
DW486,DW100,304,1942
DW487,DW100,260,2190
DW488,DW100,272,1724
DW489,DW100,275,1740
M2282,DW100,235,1553
M2300,DW100,225,1504
M2321,DW100,252,1488
M2341,DW100,232,1401
M30,DW100,215,1388
M6090,DW100,233,1494
M6151,DW100,233,1508
M6257,DW100,207,1283
M6270,DW100,239,1561
M6280,DW100,286,1898
M6282,DW100,309,2293
M6283,DW100,297,2304
M6284,DW100,238,1503
M6285,DW100,237,1470
M6286,DW100,275,1822
M6303,DW100,230,1455
M6312,DW100,232,1529
M6320,DW100,249,1739
M6327,DW100,224,1447
M6328,DW100,242,1495
M6475,DW100,196,1001
M6489,DW100,304,2137
M6593,DW100,234,1415
M6604,DW100,245,1664
M6711,DW100,297,2125
M6713,DW100,313,2346
R32G,DW100,217,1572
TW10_5G,DW100,218,1569
TW10_6G,DW100,218,1575
TW48-5G,DW100,218,1573
UTMB_10G,DW100,218,1573
DW112,DW108,254,1665
DW119,DW108,136,678
DW121,DW108,290,2054
DW123,DW108,271,2013
DW124,DW108,277,1932
DW128,DW108,278,1734
DW129,DW108,290,2090
DW131,DW108,271,2075
DW133,DW108,260,1741
DW140,DW108,267,1940
DW141,DW108,24,54
DW148,DW108,80,234
DW153,DW108,93,306
DW155,DW108,77,253
DW166,DW108,291,1954
DW167,DW108,208,1068
DW170,DW108,78,303
DW172,DW108,243,1571
DW268,DW108,262,1771
DW269,DW108,260,1628
DW270,DW108,263,1728
DW272,DW108,259,1714
DW276,DW108,283,1994
DW277,DW108,258,1745
DW278,DW108,265,2023
DW279,DW108,28,88
DW281,DW108,67,270
DW282,DW108,291,2331
DW283,DW108,266,2078
DW285,DW108,269,1787
DW286,DW108,40,96
DW287,DW108,262,2030
DW290,DW108,267,1818
DW292,DW108,260,1692
DW293,DW108,291,2047
DW295,DW108,293,2137
DW296,DW108,295,2021
DW299,DW108,64,200
DW301,DW108,100,357
DW303,DW108,279,1936
DW304,DW108,200,1138
DW307,DW108,68,202
DW308,DW108,90,330
DW309,DW108,90,305
DW312,DW108,257,1892
DW313,DW108,266,1792
DW315,DW108,277,1913
DW316,DW108,66,208
DW318,DW108,294,2129
DW320,DW108,281,2076
DW321,DW108,281,2072
DW325,DW108,102,380
DW326,DW108,281,2068
DW329,DW108,199,1135
DW330,DW108,275,1767
DW331,DW108,90,308
DW332,DW108,284,2068
DW334,DW108,260,1730
DW336,DW108,283,2073
DW337,DW108,267,1971
DW339,DW108,186,1102
DW342,DW108,248,1502
DW344,DW108,279,2078
DW345,DW108,278,2082
DW346,DW108,32,99
DW347,DW108,90,320
DW349,DW108,93,322
DW351,DW108,74,298
DW355,DW108,93,330
DW356,DW108,293,2090
DW359,DW108,54,146
DW360,DW108,277,2055
DW361,DW108,276,2058
DW365,DW108,90,283
DW366,DW108,267,1724
DW368,DW108,214,1175
DW369,DW108,237,1477
DW370,DW108,92,326
DW371,DW108,272,1891
DW372,DW108,245,1540
DW373,DW108,269,1704
DW374,DW108,73,239
DW375,DW108,254,1699
DW376,DW108,115,335
DW377,DW108,269,1892
DW379,DW108,266,1658
DW380,DW108,256,1678
DW381,DW108,274,1941
DW382,DW108,255,1542
DW383,DW108,279,1928
DW384,DW108,66,195
DW385,DW108,278,1971
DW387,DW108,260,1545
DW388,DW108,269,1897
DW389,DW108,222,1103
DW390,DW108,96,303
DW391,DW108,96,313
DW392,DW108,71,194
DW395,DW108,254,1285
DW396,DW108,281,1897
DW397,DW108,70,193
DW398,DW108,203,1068
DW401,DW108,71,206
DW402,DW108,291,2004
DW405,DW108,264,1784
DW409,DW108,272,1614
DW410,DW108,98,288
DW413,DW108,98,308
DW414,DW108,95,304
DW415,DW108,182,1066
DW418,DW108,79,316
DW420,DW108,274,1887
DW423,DW108,294,2062
DW425,DW108,74,177
DW427,DW108,92,284
DW428,DW108,268,1705
DW429,DW108,198,1072
DW430,DW108,281,2026
DW432,DW108,267,1910
DW433,DW108,285,1876
DW434,DW108,275,1998
DW435,DW108,276,1861
DW436,DW108,203,1053
DW438,DW108,31,83
DW439,DW108,277,1907
DW441,DW108,293,2095
DW442,DW108,275,1957
DW443,DW108,282,1851
DW444,DW108,99,303
DW446,DW108,285,1874
DW448,DW108,116,475
DW449,DW108,268,1780
DW450,DW108,276,1840
DW451,DW108,96,300
DW452,DW108,275,1770
DW454,DW108,290,2026
DW456,DW108,76,316
DW458,DW108,288,2017
DW460,DW108,270,1828
DW462,DW108,14,40
DW463,DW108,115,531
DW464,DW108,257,1733
DW481,DW108,252,1510
DW482,DW108,294,2079
DW483,DW108,263,1954
DW484,DW108,90,288
DW485,DW108,94,283
DW486,DW108,272,1662
DW487,DW108,103,474
DW488,DW108,271,1852
DW489,DW108,290,1911
M2282,DW108,269,1828
M2300,DW108,266,1860
M2321,DW108,269,1786
M2341,DW108,266,1911
M30,DW108,257,1784
M6090,DW108,267,1841
M6151,DW108,267,1815
M6257,DW108,265,1879
M6270,DW108,271,1888
M6280,DW108,291,2063
M6282,DW108,206,1291
M6283,DW108,250,1511
M6284,DW108,266,1867
M6285,DW108,265,1927
M6286,DW108,272,1928
M6303,DW108,278,1899
M6312,DW108,265,1883
M6320,DW108,277,1986
M6327,DW108,262,1840
M6328,DW108,280,1903
M6475,DW108,261,1863
M6489,DW108,53,180
M6593,DW108,257,1739
M6604,DW108,265,1921
M6711,DW108,196,1101
M6713,DW108,280,1919
R32G,DW108,253,1798
TW10_5G,DW108,254,1801
TW10_6G,DW108,254,1799
TW48-5G,DW108,254,1798
UTMB_10G,DW108,254,1798
DW119,DW112,268,1789
DW121,DW112,289,1941
DW123,DW112,280,1974
DW124,DW112,284,1898
DW128,DW112,278,1766
DW129,DW112,274,1898
DW131,DW112,280,2048
DW133,DW112,205,1347
DW140,DW112,246,1687
DW141,DW112,232,1751
DW148,DW112,270,1728
DW153,DW112,256,1745
DW155,DW112,271,1799
DW166,DW112,283,1760
DW167,DW112,240,1570
DW170,DW112,272,1707
DW172,DW112,208,1314
DW268,DW112,34,147
DW269,DW112,40,139
DW270,DW112,38,160
DW272,DW112,203,1321
DW276,DW112,270,1821
DW277,DW112,274,1840
DW278,DW112,262,1921
DW279,DW112,269,1808
DW281,DW112,260,1692
DW282,DW112,300,2062
DW283,DW112,265,1930
DW285,DW112,69,376
DW286,DW112,257,1625
DW287,DW112,256,1924
DW290,DW112,272,1780
DW292,DW112,18,110
DW293,DW112,306,2160
DW295,DW112,294,2099
DW296,DW112,314,2137
DW299,DW112,256,1769
DW301,DW112,262,1743
DW303,DW112,286,1886
DW304,DW112,249,1621
DW307,DW112,268,1728
DW308,DW112,259,1791
DW309,DW112,259,1704
DW312,DW112,270,1814
DW313,DW112,108,608
DW315,DW112,279,1794
DW316,DW112,266,1755
DW318,DW112,297,2068
DW320,DW112,281,1947
DW321,DW112,281,1959
DW325,DW112,254,1730
DW326,DW112,281,1949
DW329,DW112,259,1624
DW330,DW112,119,589
DW331,DW112,257,1739
DW332,DW112,285,1923
DW334,DW112,14,63
DW336,DW112,283,1977
DW337,DW112,267,1821
DW339,DW112,253,1635
DW342,DW112,259,1579
DW344,DW112,281,1977
DW345,DW112,277,1902
DW346,DW112,265,1734
DW347,DW112,260,1793
DW349,DW112,242,1636
DW351,DW112,258,1782
DW355,DW112,258,1682
DW356,DW112,306,2185
DW359,DW112,266,1756
DW360,DW112,282,2076
DW361,DW112,275,1907
DW365,DW112,249,1612
DW366,DW112,43,161
DW368,DW112,246,1562
DW369,DW112,252,1519
DW370,DW112,246,1657
DW371,DW112,281,1884
DW372,DW112,206,1263
DW373,DW112,169,980
DW374,DW112,213,1654
DW375,DW112,202,1265
DW376,DW112,264,1609
DW377,DW112,288,1954
DW379,DW112,48,131
DW380,DW112,7,47
DW381,DW112,283,1930
DW382,DW112,277,1833
DW383,DW112,287,1919
DW384,DW112,266,1680
DW385,DW112,283,2010
DW387,DW112,249,1429
DW388,DW112,290,1953
DW389,DW112,262,1754
DW390,DW112,268,1669
DW391,DW112,268,1668
DW392,DW112,260,1648
DW395,DW112,253,1175
DW396,DW112,215,1274
DW397,DW112,256,1663
DW398,DW112,237,1566
DW401,DW112,248,1672
DW402,DW112,276,1817
DW405,DW112,194,1193
DW409,DW112,296,1588
DW410,DW112,262,1533
DW413,DW112,267,1615
DW414,DW112,236,1611
DW415,DW112,252,1535
DW418,DW112,276,1798
DW420,DW112,272,1758
DW423,DW112,279,1755
DW425,DW112,262,1626
DW427,DW112,261,1641
DW428,DW112,41,155
DW429,DW112,236,1611
DW430,DW112,284,1884
DW432,DW112,263,1830
DW433,DW112,290,1993
DW434,DW112,284,2018
DW435,DW112,281,1877
DW436,DW112,237,1548
DW438,DW112,268,1710
DW439,DW112,283,1898
DW441,DW112,294,2060
DW442,DW112,284,1991
DW443,DW112,216,1249
DW444,DW112,270,1677
DW446,DW112,210,1267
DW448,DW112,253,1608
DW449,DW112,216,1365
DW450,DW112,290,1841
DW451,DW112,268,1634
DW452,DW112,278,1746
DW454,DW112,272,1801
DW456,DW112,275,1812
DW458,DW112,285,1899
DW460,DW112,202,1239
DW462,DW112,263,1718
DW463,DW112,250,1687
DW464,DW112,205,1321
DW481,DW112,271,1785
DW482,DW112,296,2040
DW483,DW112,269,1991
DW484,DW112,258,1673
DW485,DW112,260,1629
DW486,DW112,107,519
DW487,DW112,217,1690
DW488,DW112,285,1918
DW489,DW112,305,1957
M2282,DW112,274,1844
M2300,DW112,265,1838
M2321,DW112,278,1711
M2341,DW112,267,1709
M30,DW112,259,1753
M6090,DW112,276,1797
M6151,DW112,276,1832
M6257,DW112,272,1803
M6270,DW112,283,1854
M6280,DW112,296,1973
M6282,DW112,254,1804
M6283,DW112,250,1687
M6284,DW112,280,1836
M6285,DW112,257,1727
M6286,DW112,262,1674
M6303,DW112,274,1877
M6312,DW112,274,1812
M6320,DW112,273,1989
M6327,DW112,273,1793
M6328,DW112,286,1862
M6475,DW112,264,1770
M6489,DW112,255,1677
M6593,DW112,269,1724
M6604,DW112,251,1606
M6711,DW112,236,1598
M6713,DW112,211,1338
R32G,DW112,259,1838
TW10_5G,DW112,260,1848
TW10_6G,DW112,260,1840
TW48-5G,DW112,260,1836
UTMB_10G,DW112,260,1839
DW121,DW119,309,2166
DW123,DW119,288,2152
DW124,DW119,296,2074
DW128,DW119,291,1935
DW129,DW119,304,2358
DW131,DW119,288,2273
DW133,DW119,271,1865
DW140,DW119,286,2074
DW141,DW119,128,717
DW148,DW119,144,721
DW153,DW119,135,720
DW155,DW119,142,771
DW166,DW119,299,2021
DW167,DW119,233,1320
DW170,DW119,171,810
DW172,DW119,255,1782
DW268,DW119,275,1897
DW269,DW119,272,1756
DW270,DW119,276,1920
DW272,DW119,270,1843
DW276,DW119,298,2171
DW277,DW119,270,1860
DW278,DW119,281,2128
DW279,DW119,145,773
DW281,DW119,135,731
DW282,DW119,315,2435
DW283,DW119,279,2186
DW285,DW119,278,1899
DW286,DW119,142,664
DW287,DW119,276,2144
DW290,DW119,285,1910
DW292,DW119,275,1864
DW293,DW119,299,2254
DW295,DW119,297,2265
DW296,DW119,301,2206
DW299,DW119,129,731
DW301,DW119,140,777
DW303,DW119,300,2045
DW304,DW119,224,1307
DW307,DW119,135,712
DW308,DW119,132,799
DW309,DW119,133,702
DW312,DW119,279,2028
DW313,DW119,277,1962
DW315,DW119,293,2100
DW316,DW119,135,736
DW318,DW119,300,2256
DW320,DW119,298,2199
DW321,DW119,298,2203
DW325,DW119,146,774
DW326,DW119,298,2182
DW329,DW119,210,1276
DW330,DW119,286,1876
DW331,DW119,137,752
DW332,DW119,302,2227
DW334,DW119,276,1946
DW336,DW119,301,2241
DW337,DW119,289,2187
DW339,DW119,196,1296
DW342,DW119,267,1644
DW344,DW119,298,2222
DW345,DW119,305,2350
DW346,DW119,139,741
DW347,DW119,139,810
DW349,DW119,130,717
DW351,DW119,164,866
DW355,DW119,132,798
DW356,DW119,303,2226
DW359,DW119,148,748
DW360,DW119,291,2277
DW361,DW119,293,2132
DW365,DW119,132,649
DW366,DW119,280,1846
DW368,DW119,235,1309
DW369,DW119,256,1544
DW370,DW119,133,660
DW371,DW119,299,2035
DW372,DW119,255,1718
DW373,DW119,276,1858
DW374,DW119,125,694
DW375,DW119,264,1788
DW376,DW119,150,629
DW377,DW119,292,2052
DW379,DW119,279,1712
DW380,DW119,271,1784
DW381,DW119,291,2066
DW382,DW119,266,1706
DW383,DW119,293,2016
DW384,DW119,134,676
DW385,DW119,292,2169
DW387,DW119,262,1529
DW388,DW119,292,2038
DW389,DW119,243,1263
DW390,DW119,138,687
DW391,DW119,138,683
DW392,DW119,134,619
DW395,DW119,274,1353
DW396,DW119,287,1879
DW397,DW119,131,636
DW398,DW119,232,1318
DW401,DW119,138,684
DW402,DW119,305,2187
DW405,DW119,266,1771
DW409,DW119,292,1765
DW410,DW119,138,625
DW413,DW119,143,671
DW414,DW119,132,642
DW415,DW119,193,1187
DW418,DW119,172,858
DW420,DW119,291,1930
DW423,DW119,313,2124
DW425,DW119,138,629
DW427,DW119,136,644
DW428,DW119,278,1818
DW429,DW119,227,1352
DW430,DW119,298,2123
DW432,DW119,284,2125
DW433,DW119,288,2026
DW434,DW119,289,2143
DW435,DW119,299,1993
DW436,DW119,230,1305
DW438,DW119,141,679
DW439,DW119,291,2035
DW441,DW119,297,2207
DW442,DW119,289,2121
DW443,DW119,286,1855
DW444,DW119,143,686
DW446,DW119,279,1816
DW448,DW119,150,790
DW449,DW119,279,1863
DW450,DW119,288,1993
DW451,DW119,138,652
DW452,DW119,289,1881
DW454,DW119,303,2204
DW456,DW119,173,872
DW458,DW119,305,2112
DW460,DW119,272,1833
DW462,DW119,137,708
DW463,DW119,149,854
DW464,DW119,269,1849
DW481,DW119,261,1661
DW482,DW119,299,2203
DW483,DW119,273,2120
DW484,DW119,129,673
DW485,DW119,140,636
DW486,DW119,286,1723
DW487,DW119,134,760
DW488,DW119,287,2023
DW489,DW119,297,1994
M2282,DW119,286,1938
M2300,DW119,283,1937
M2321,DW119,298,2026
M2341,DW119,289,2080
M30,DW119,275,1885
M6090,DW119,287,1924
M6151,DW119,287,1982
M6257,DW119,279,1966
M6270,DW119,287,2028
M6280,DW119,295,2151
M6282,DW119,219,1456
M6283,DW119,248,1666
M6284,DW119,286,1961
M6285,DW119,294,2127
M6286,DW119,281,2102
M6303,DW119,291,2046
M6312,DW119,285,1973
M6320,DW119,301,2142
M6327,DW119,282,1924
M6328,DW119,299,2036
M6475,DW119,279,2119
M6489,DW119,122,626
M6593,DW119,287,1996
M6604,DW119,287,2029
M6711,DW119,224,1378
M6713,DW119,282,1933
R32G,DW119,272,2020
TW10_5G,DW119,273,2014
TW10_6G,DW119,273,2022
TW48-5G,DW119,273,2014
UTMB_10G,DW119,273,2020
DW123,DW121,249,1424
DW124,DW121,244,1364
DW128,DW121,265,1683
DW129,DW121,138,816
DW131,DW121,249,1520
DW133,DW121,296,1893
DW140,DW121,240,1512
DW141,DW121,265,2086
DW148,DW121,313,2156
DW153,DW121,305,2170
DW155,DW121,312,2178
DW166,DW121,302,1883
DW167,DW121,306,2034
DW170,DW121,282,1831
DW172,DW121,294,1873
DW268,DW121,299,2049
DW269,DW121,303,1903
DW270,DW121,303,2043
DW272,DW121,296,1860
DW276,DW121,139,766
DW277,DW121,232,1294
DW278,DW121,51,151
DW279,DW121,304,2170
DW281,DW121,306,2127
DW282,DW121,268,1780
DW283,DW121,50,148
DW285,DW121,307,2075
DW286,DW121,293,1949
DW287,DW121,49,145
DW290,DW121,226,1272
DW292,DW121,294,2013
DW293,DW121,251,1529
DW295,DW121,215,1249
DW296,DW121,256,1524
DW299,DW121,299,2168
DW301,DW121,303,2166
DW303,DW121,244,1362
DW304,DW121,299,2014
DW307,DW121,311,2130
DW308,DW121,305,2209
DW309,DW121,304,2096
DW312,DW121,232,1236
DW313,DW121,311,2214
DW315,DW121,237,1355
DW316,DW121,309,2131
DW318,DW121,222,1219
DW320,DW121,49,157
DW321,DW121,46,165
DW325,DW121,298,2196
DW326,DW121,47,172
DW329,DW121,311,2254
DW330,DW121,316,2167
DW331,DW121,300,2157
DW332,DW121,55,207
DW334,DW121,297,2055
DW336,DW121,54,214
DW337,DW121,240,1461
DW339,DW121,306,2216
DW342,DW121,271,1484
DW344,DW121,52,173
DW345,DW121,247,1558
DW346,DW121,300,2086
DW347,DW121,304,2186
DW349,DW121,285,2066
DW351,DW121,270,1926
DW355,DW121,305,2165
DW356,DW121,261,1526
DW359,DW121,294,2086
DW360,DW121,251,1517
DW361,DW121,46,162
DW365,DW121,293,1984
DW366,DW121,306,2022
DW368,DW121,286,1874
DW369,DW121,262,1423
DW370,DW121,290,2025
DW371,DW121,244,1323
DW372,DW121,295,1819
DW373,DW121,278,1693
DW374,DW121,248,2090
DW375,DW121,291,1802
DW376,DW121,308,2025
DW377,DW121,256,1444
DW379,DW121,302,1910
DW380,DW121,294,1952
DW381,DW121,249,1367
DW382,DW121,275,1682
DW383,DW121,253,1471
DW384,DW121,309,2079
DW385,DW121,254,1416
DW387,DW121,320,2076
DW388,DW121,257,1462
DW389,DW121,288,1873
DW390,DW121,312,2079
DW391,DW121,312,2091
DW392,DW121,309,2044
DW395,DW121,227,727
DW396,DW121,312,2244
DW397,DW121,306,2048
DW398,DW121,306,2056
DW401,DW121,283,2063
DW402,DW121,143,752
DW405,DW121,294,2058
DW409,DW121,262,1453
DW410,DW121,305,1825
DW413,DW121,311,2000
DW414,DW121,276,1979
DW415,DW121,304,2137
DW418,DW121,286,1981
DW420,DW121,56,118
DW423,DW121,135,571
DW425,DW121,306,2014
DW427,DW121,310,2051
DW428,DW121,309,1999
DW429,DW121,307,2109
DW430,DW121,49,134
DW432,DW121,219,1262
DW433,DW121,238,1359
DW434,DW121,251,1427
DW435,DW121,243,1356
DW436,DW121,307,2041
DW438,DW121,305,2055
DW439,DW121,254,1329
DW441,DW121,215,1215
DW442,DW121,251,1400
DW443,DW121,318,2103
DW444,DW121,314,2073
DW446,DW121,317,2166
DW448,DW121,299,2081
DW449,DW121,302,1896
DW450,DW121,238,1368
DW451,DW121,312,2033
DW452,DW121,276,1822
DW454,DW121,137,751
DW456,DW121,286,1996
DW458,DW121,54,142
DW460,DW121,304,2218
DW462,DW121,300,2077
DW463,DW121,301,2135
DW464,DW121,297,1880
DW481,DW121,271,1642
DW482,DW121,219,1195
DW483,DW121,237,1383
DW484,DW121,306,2072
DW485,DW121,310,2029
DW486,DW121,314,2007
DW487,DW121,249,2076
DW488,DW121,280,1794
DW489,DW121,250,1361
M2282,DW121,234,1287
M2300,DW121,227,1285
M2321,DW121,254,1402
M2341,DW121,238,1412
M30,DW121,213,1205
M6090,DW121,233,1259
M6151,DW121,233,1279
M6257,DW121,222,1313
M6270,DW121,236,1324
M6280,DW121,288,1856
M6282,DW121,306,2208
M6283,DW121,302,2258
M6284,DW121,232,1295
M6285,DW121,240,1507
M6286,DW121,284,1892
M6303,DW121,238,1227
M6312,DW121,232,1315
M6320,DW121,248,1603
M6327,DW121,223,1278
M6328,DW121,239,1290
M6475,DW121,218,1269
M6489,DW121,301,2089
M6593,DW121,238,1310
M6604,DW121,252,1692
M6711,DW121,298,2104
M6713,DW121,315,2326
R32G,DW121,212,1305
TW10_5G,DW121,213,1307
TW10_6G,DW121,213,1306
TW48-5G,DW121,213,1304
UTMB_10G,DW121,213,1304
DW124,DW123,154,904
DW128,DW123,218,1471
DW129,DW123,243,1664
DW131,DW123,1,8
DW133,DW123,266,1831
DW140,DW123,235,1687
DW141,DW123,247,2064
DW148,DW123,295,2118
DW153,DW123,286,2140
DW155,DW123,294,2151
DW166,DW123,293,1891
DW167,DW123,285,1996
DW170,DW123,280,1907
DW172,DW123,271,1856
DW268,DW123,289,2090
DW269,DW123,290,1922
DW270,DW123,292,2126
DW272,DW123,264,1814
DW276,DW123,237,1551
DW277,DW123,235,1570
